Year,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
2007,4,3,0,0,1,0,52,61,20.33,82.43,3,0
2008,28,28,7,0,3,2,70*,532,25.33,72.58,8,0
2009,9,7,3,0,0,1,43*,102,25.5,65.81,7,0
2010,15,14,1,2,1,2,114,504,38.77,86.01,5,0
2011,16,16,5,0,6,0,95,611,55.55,82.68,3,0
2012,14,13,0,0,1,3,68,168,12.92,66.93,6,0
2013,28,27,4,2,8,0,209,1196,52,80.81,6,0
2014,12,12,1,1,3,0,264,578,52.55,94.29,5,0
2015,17,17,1,3,4,2,150,815,50.94,95.43,6,0
2016,10,10,1,2,2,0,171*,564,62.67,95.27,5,0
2017,21,21,3,6,5,1,208*,1293,71.83,99.46,4,0
2018,19,19,5,5,3,1,162,1030,73.57,100.1,11,0
2019,28,27,1,7,6,1,159,1490,57.31,89.92,8,0
2020,3,3,0,1,0,0,119,171,57,91.44,0,0
2021,3,3,0,0,0,0,37,90,30,86.54,1,0
2022,8,8,2,0,3,1,76*,249,41.5,114.22,6,0
Overall,235,228,34,29,46,14,264,9454,48.73,89.42,84,0
